# =============================================================================
# NOT-A-FIXED-POINT: it reads the live mg store, which is outside this repository
# and moves every hour, so no commit can make the figures below reproduce.
# =============================================================================
# A re-run is a NEW measurement of a different afternoon and not a check of this
# one.  The figures below are DATED EVIDENCE for the finding this directory's
# README states -- the 122, the 25, the 16 of 191 -- so they are pinned:
# re-running this suite replaces them.  The marker above is the literal
# code/verdict_staleness_30bd reads (lib30bd.DECLARATION), which was grading
# these four probes as stale verdicts about the corpus.  Written by run_all.sh,
# not by the probe, because verdictwatch.py is a shipped CLI whose stdout is a
# contract -- its --json mode must stay NDJSON.  mg-5491.
verdictwatch -- store /Users/daniel/.macguffin -- filer pm-onethird
  landed items scanned : 149
  DELIVERED            : 25
  DROPPED              : 122
  UNDECIDABLE          : 2   (no polecat-* branch in the result sidecar)

DROPPED VERDICTS, oldest landing first (elsewhere = mails this worker sent to somebody who was not the filer):
  landed                item      filer         worker   kind      elsewhere  title
  2026-07-30T06:19:08Z  mg-a2bd   pm-onethird   a2bd     done              0  STATE.md asserts a FALSE UNIVERSAL: ledger row G-double-prime has 55 counterexamples — s
  2026-07-30T07:17:54Z  mg-f2e1   pm-onethird   f2e1     done              0  Land mg-f7bc: the A5 trigger I wrote has a HOLE at STATE.md — plus a false coverage clai
  2026-07-30T07:21:18Z  mg-3c24   pm-onethird   3c24     done              0  INDEPENDENT AUDIT of whatever mg-a2bd produces (pre-filed) — striking a FALSE universal 
  2026-07-30T07:48:10Z  mg-6653   pm-onethird   6653     done              0  INDEPENDENT AUDIT of whatever mg-f2e1 produces (pre-filed) — it widens the A5 trigger an
  2026-07-30T09:35:11Z  mg-4f9b   pm-onethird   4f9b     done              2  LIVE REGRESSION: the widened gate is blind to a mutation it used to catch — widening the
  2026-07-30T10:12:05Z  mg-66a6   pm-onethird   66a6     done              0  INDEPENDENT AUDIT of whatever mg-6016 produces (pre-filed) — an expository note going to
  2026-07-30T10:33:12Z  mg-7d5a   pm-onethird   7d5a     done              0  STATE.md carries a FALSE argument for its own A5 widening — strike it; the widening SURV
  2026-07-30T10:41:08Z  mg-7f38   pm-onethird   7f38     done              0  Fix the Daniel-facing note: UPGRADE the status (both claims are elementary theorems for 
  2026-07-30T11:17:34Z  mg-e720   pm-onethird   e720     done              0  INDEPENDENT AUDIT of whatever mg-7d5a produces (pre-filed) — sixth generation; the prima
  2026-07-30T11:21:55Z  mg-48dd   pm-onethird   48dd     done              4  CLOSE the four-generation class: mg-56be exhibited corpus-independent references that FI
  2026-07-30T11:48:29Z  mg-8fd1   pm-onethird   8fd1     done              0  GATE the unified-framework question before researching it: settle what the rep-theory ne
  2026-07-30T12:24:59Z  mg-446b   pm-onethird   446b     done              0  INDEPENDENT AUDIT of whatever mg-8fd1 produces (pre-filed) — it reports on a document ra
  2026-07-30T12:25:04Z  mg-ae62   pm-onethird   ae62     done              0  Land mg-e720's REMAINING two BROKEN items (B2 and B3) — B1 is done by mg-3f21, do not to
  2026-07-30T12:51:00Z  mg-a053   pm-onethird   a053     done              0  Repair the proof, not the theorem: mg-446b found a FALSE SENTENCE inside the Sn-stabilit
  2026-07-30T13:14:15Z  mg-7735   pm-onethird   7735     done              0  Land mg-6a2f: the restructure LOST NOTHING (verified twice, independently) — fix the two
  2026-07-30T13:22:41Z  mg-ebd8   pm-onethird   ebd8     done              0  Daniel priority 2: LOCATE the construction in the existing literature — does it generali
  2026-07-30T13:38:41Z  mg-24a3   pm-onethird   24a3     done              0  Daniel priority 1: how would a 1/3-2/3 COUNTEREXAMPLE behave under this action — derive 
  2026-07-30T13:41:42Z  mg-bd41   pm-onethird   bd41     done              0  INDEPENDENT AUDIT of whatever mg-7735 produces (pre-filed) — primary target is the NEW s
  2026-07-30T13:50:21Z  mg-d673   pm-onethird   d673     done              0  INDEPENDENT AUDIT of whatever mg-ebd8 produces (pre-filed) — a locating exercise, so the
  2026-07-30T14:06:41Z  mg-2da3   pm-onethird   2da3     done              0  REPAIR the blind certification in b68db5d (NOT the conclusion): a revision-pinned batter
  2026-07-30T14:18:44Z  mg-a7b4   pm-onethird   a7b4     done              0  INDEPENDENT AUDIT of whatever mg-24a3 produces (pre-filed) — a NULL result must be quant
  2026-07-30T14:35:42Z  mg-2216   pm-onethird   2216     done              0  INDEPENDENT AUDIT of whatever mg-2da3 produces (pre-filed) — build your OWN mutation; a 
  2026-07-30T14:37:05Z  mg-1953   pm-onethird   1953     done              0  REPAIR mg-ebd8's DERIVATIONS, not its locating: closed form drops acyclicity (455 spurio
  2026-07-30T14:58:53Z  mg-7870   pm-onethird   7870     done              0  The repaired control is STILL blind: 8 of 14 mutations pass silently (38% of the certifi
  2026-07-30T15:02:19Z  mg-3b51   pm-onethird   3b51     done              0  INDEPENDENT AUDIT of whatever mg-1953 produces (pre-filed) — check the acyclicity fix OU
  2026-07-30T15:21:04Z  mg-babf   pm-onethird   babf     done              0  INDEPENDENT AUDIT of whatever mg-7870 produces (pre-filed) — THIRD control in this linea
  2026-07-30T15:23:58Z  mg-dea5   pm-onethird   dea5     done              0  mg-24a3's NULL IS FALSE and there is a signal under it: the e=3 control group is VACUOUS
  2026-07-30T15:25:14Z  mg-af28   pm-onethird   af28     done              0  Daniel's generalisation question is NOT settled: run the search that row Q's no omitted 
  2026-07-30T15:32:13Z  mg-aec7   pm-onethird   aec7     done              0  Clear mg-3b51's 4 MINOR: R1d is a RESTATEMENT labelled as a control (restricted to AC(P)
  2026-07-30T15:56:58Z  mg-6ad0   pm-onethird   6ad0     done              0  INDEPENDENT AUDIT of whatever mg-af28 produces (pre-filed) — the ticket exists because a
